indicator,siteCode,DATIM,KHIS,NDW,concordance_KHIS_to_DATIM,concordance_KHIS_to_NDW
HTS_TST_POS,10687,0.0,2.0,2.0,0.0,100.0
HTS_TST_POS,10688,2.0,1.0,2.0,200.0,200.0
HTS_TST_POS,10693,3.0,14.0,7.0,21.428571428571427,50.0
HTS_TST_POS,10698,4.0,6.0,6.0,66.66666666666666,100.0
HTS_TST_POS,10700,4.0,5.0,5.0,80.0,100.0
HTS_TST_POS,10702,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10711,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10726,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10727,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10732,2.0,4.0,4.0,50.0,100.0
HTS_TST_POS,10733,3.0,3.0,3.0,100.0,100.0
HTS_TST_POS,10738,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10739,4.0,5.0,5.0,80.0,100.0
HTS_TST_POS,10741,1.0,2.0,0.0,50.0,0.0
HTS_TST_POS,10744,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10745,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10750,1.0,2.0,2.0,50.0,100.0
HTS_TST_POS,10763,8.0,10.0,11.0,80.0,110.00000000000001
HTS_TST_POS,10765,9.0,13.0,13.0,69.23076923076923,100.0
HTS_TST_POS,10766,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10774,3.0,3.0,3.0,100.0,100.0
HTS_TST_POS,10777,12.0,18.0,26.0,66.66666666666666,144.44444444444443
HTS_TST_POS,10778,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10781,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10782,3.0,6.0,7.0,50.0,116.66666666666667
HTS_TST_POS,10783,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10786,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10793,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10798,2.0,2.0,3.0,100.0,150.0
HTS_TST_POS,10806,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10808,1.0,11.0,11.0,9.090909090909092,100.0
HTS_TST_POS,10809,6.0,8.0,8.0,75.0,100.0
HTS_TST_POS,10816,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10817,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10820,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10822,5.0,9.0,14.0,55.55555555555556,155.55555555555557
HTS_TST_POS,10825,22.0,34.0,34.0,64.70588235294117,100.0
HTS_TST_POS,10828,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10829,0.0,3.0,2.0,0.0,66.66666666666666
HTS_TST_POS,10831,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10832,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,10840,2.0,3.0,1.0,66.66666666666666,33.33333333333333
HTS_TST_POS,10851,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10852,0.0,5.0,4.0,0.0,80.0
HTS_TST_POS,10856,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,10857,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10859,0.0,3.0,0.0,0.0,0.0
HTS_TST_POS,10863,3.0,5.0,0.0,60.0,0.0
HTS_TST_POS,10864,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10865,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10869,3.0,4.0,4.0,75.0,100.0
HTS_TST_POS,10870,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10871,4.0,4.0,4.0,100.0,100.0
HTS_TST_POS,10872,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10873,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10875,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10878,8.0,8.0,8.0,100.0,100.0
HTS_TST_POS,10880,1.0,3.0,3.0,33.33333333333333,100.0
HTS_TST_POS,10884,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10887,13.0,28.0,20.0,46.42857142857143,71.42857142857143
HTS_TST_POS,10889,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10890,12.0,14.0,14.0,85.71428571428571,100.0
HTS_TST_POS,10891,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,10893,6.0,7.0,7.0,85.71428571428571,100.0
HTS_TST_POS,10895,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10903,12.0,23.0,24.0,52.17391304347826,104.34782608695652
HTS_TST_POS,10905,6.0,7.0,8.0,85.71428571428571,114.28571428571428
HTS_TST_POS,10911,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10912,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,10916,14.0,18.0,24.0,77.77777777777779,133.33333333333331
HTS_TST_POS,10922,11.0,14.0,14.0,78.57142857142857,100.0
HTS_TST_POS,10924,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10940,0.0,4.0,0.0,0.0,0.0
HTS_TST_POS,10944,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10973,42.0,55.0,53.0,76.36363636363637,96.36363636363636
HTS_TST_POS,10974,0.0,3.0,0.0,0.0,0.0
HTS_TST_POS,10975,1.0,3.0,3.0,33.33333333333333,100.0
HTS_TST_POS,10987,3.0,5.0,4.0,60.0,80.0
HTS_TST_POS,10988,7.0,14.0,13.0,50.0,92.85714285714286
HTS_TST_POS,10994,0.0,9.0,9.0,0.0,100.0
HTS_TST_POS,11,1.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11004,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11007,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11009,1.0,2.0,1.0,50.0,50.0
HTS_TST_POS,11030,2.0,4.0,4.0,50.0,100.0
HTS_TST_POS,11041,0.0,5.0,5.0,0.0,100.0
HTS_TST_POS,11048,3.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11059,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,11069,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,11071,0.0,9.0,0.0,0.0,0.0
HTS_TST_POS,11076,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11090,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,11092,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,11094,36.0,57.0,57.0,63.1578947368421,100.0
HTS_TST_POS,11097,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11104,7.0,15.0,15.0,46.666666666666664,100.0
HTS_TST_POS,11124,5.0,7.0,7.0,71.42857142857143,100.0
HTS_TST_POS,11126,1.0,2.0,2.0,50.0,100.0
HTS_TST_POS,11130,2.0,3.0,2.0,66.66666666666666,66.66666666666666
HTS_TST_POS,11139,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11141,3.0,4.0,4.0,75.0,100.0
HTS_TST_POS,11161,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11167,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11170,15.0,28.0,27.0,53.57142857142857,96.42857142857143
HTS_TST_POS,11173,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11175,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,11176,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11183,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11186,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11198,0.0,4.0,4.0,0.0,100.0
HTS_TST_POS,11203,0.0,11.0,0.0,0.0,0.0
HTS_TST_POS,11208,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11223,2.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11237,2.0,5.0,5.0,40.0,100.0
HTS_TST_POS,11239,4.0,13.0,13.0,30.76923076923077,100.0
HTS_TST_POS,11244,0.0,7.0,4.0,0.0,57.14285714285714
HTS_TST_POS,11248,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11254,2.0,9.0,8.0,22.22222222222222,88.88888888888889
HTS_TST_POS,11255,5.0,5.0,0.0,100.0,0.0
HTS_TST_POS,11258,26.0,34.0,34.0,76.47058823529412,100.0
HTS_TST_POS,11259,15.0,21.0,4.0,71.42857142857143,19.047619047619047
HTS_TST_POS,11262,1.0,2.0,1.0,50.0,50.0
HTS_TST_POS,11263,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11264,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11265,0.0,3.0,3.0,0.0,100.0
HTS_TST_POS,11273,7.0,8.0,8.0,87.5,100.0
HTS_TST_POS,11274,16.0,11.0,10.0,145.45454545454547,90.9090909090909
HTS_TST_POS,11276,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11278,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11282,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11289,27.0,41.0,41.0,65.85365853658537,100.0
HTS_TST_POS,11293,1.0,2.0,0.0,50.0,0.0
HTS_TST_POS,11299,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11300,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11302,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11303,15.0,7.0,7.0,214.28571428571428,100.0
HTS_TST_POS,11304,1.0,12.0,12.0,8.333333333333332,100.0
HTS_TST_POS,11359,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11360,0.0,3.0,0.0,0.0,0.0
HTS_TST_POS,11362,0.0,4.0,0.0,0.0,0.0
HTS_TST_POS,11368,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11380,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11382,3.0,3.0,3.0,100.0,100.0
HTS_TST_POS,11383,0.0,3.0,3.0,0.0,100.0
HTS_TST_POS,11384,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11386,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11387,1.0,12.0,12.0,8.333333333333332,100.0
HTS_TST_POS,11390,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11392,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11393,6.0,4.0,5.0,150.0,125.0
HTS_TST_POS,11394,3.0,8.0,7.0,37.5,87.5
HTS_TST_POS,11395,18.0,13.0,14.0,138.46153846153845,107.6923076923077
HTS_TST_POS,11397,0.0,0.0,1.0,0.0,0.0
HTS_TST_POS,11400,2.0,4.0,4.0,50.0,100.0
HTS_TST_POS,11401,1.0,6.0,6.0,16.666666666666664,100.0
HTS_TST_POS,11404,2.0,6.0,3.0,33.33333333333333,50.0
HTS_TST_POS,11409,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11411,0.0,3.0,0.0,0.0,0.0
HTS_TST_POS,11417,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11425,3.0,3.0,1.0,100.0,33.33333333333333
HTS_TST_POS,11432,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11433,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11434,5.0,7.0,7.0,71.42857142857143,100.0
HTS_TST_POS,11436,0.0,5.0,5.0,0.0,100.0
HTS_TST_POS,11437,3.0,3.0,0.0,100.0,0.0
HTS_TST_POS,11446,2.0,2.0,1.0,100.0,50.0
HTS_TST_POS,11447,1.0,2.0,0.0,50.0,0.0
HTS_TST_POS,11448,3.0,5.0,4.0,60.0,80.0
HTS_TST_POS,11451,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11453,1.0,3.0,3.0,33.33333333333333,100.0
HTS_TST_POS,11454,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,11455,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,11457,4.0,4.0,0.0,100.0,0.0
HTS_TST_POS,11464,1.0,3.0,0.0,33.33333333333333,0.0
HTS_TST_POS,11470,0.0,7.0,0.0,0.0,0.0
HTS_TST_POS,11472,6.0,7.0,7.0,85.71428571428571,100.0
HTS_TST_POS,11473,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11474,17.0,36.0,37.0,47.22222222222222,102.77777777777777
HTS_TST_POS,11476,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11480,6.0,13.0,12.0,46.15384615384615,92.3076923076923
HTS_TST_POS,11481,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11489,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11491,0.0,4.0,4.0,0.0,100.0
HTS_TST_POS,11493,0.0,4.0,4.0,0.0,100.0
HTS_TST_POS,11495,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11496,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11497,2.0,3.0,1.0,66.66666666666666,33.33333333333333
HTS_TST_POS,11498,1.0,3.0,0.0,33.33333333333333,0.0
HTS_TST_POS,11499,14.0,18.0,18.0,77.77777777777779,100.0
HTS_TST_POS,11507,11.0,23.0,22.0,47.82608695652174,95.65217391304348
HTS_TST_POS,11509,0.0,3.0,0.0,0.0,0.0
HTS_TST_POS,11512,0.0,10.0,0.0,0.0,0.0
